brand,price,processor,Ram,ROM,display_size,OS
HP,49900,5th Gen AMD Ryzen 5 5600H,8.0,512.0,15.6,Windows 11 OS
HP,39900,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Acer,26990,11th Gen Intel Core i3 1115G4,8.0,512.0,14.0,Windows 11 OS
Lenovo,59729,12th Gen Intel Core i5 1240P,16.0,512.0,14.0,Windows 11 OS
Apple,69990,Apple M1,8.0,256.0,13.3,Mac OS
Acer,39990,12th Gen Intel Core i5 1240P,8.0,512.0,14.0,Windows 11 OS
Dell,36790,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Acer,76990,13th Gen Intel Core i5 13420H,16.0,512.0,15.6,Windows 11 OS
Asus,48990,12th Gen Intel Core i5 12500H,8.0,512.0,15.6,Windows 11 OS
Samsung,74990,12th Gen Intel Core i5 1240P,16.0,512.0,13.3,Windows 11 OS
Lenovo,49990,12th Gen Intel Core i7 1255U,16.0,512.0,15.6,Windows 11 OS
Ultimus,10990,Intel Celeron  N4020,4.0,128.0,14.1,Windows 11 OS
Asus,72990,12th Gen Intel Core i5 12500H,16.0,512.0,15.6,Windows 11 OS
Primebook,10990,MediaTek MTK8788,4.0,64.0,11.6,Android 11 OS
Lenovo,29990,7th Gen AMD Ryzen 3 7320U,8.0,512.0,15.6,Windows 11 OS
Asus,53649,11th Gen Intel Core i5 11400H ,8.0,512.0,15.6,Windows 11 OS
MSI,33990,11th Gen Intel Core i3 1115G4,8.0,512.0,14.0,Windows 11 OS
Infinix,79990,13th Gen Intel Core i9 13900H,32.0,1024.0,15.6,Windows 11 OS
HP,68990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
Lenovo,45990,11th Gen Intel Core i5 11300H,8.0,512.0,15.6,Windows 11 OS
Asus,49900,5th Gen AMD Ryzen 5 5600H,8.0,512.0,16.0,Windows 11 OS
Apple,104990,Apple M2,8.0,256.0,13.6,Mac OS
Acer,54990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
HP,49580,11th Gen Intel Core i5 1135G7 ,16.0,512.0,15.6,Windows 11 OS
Asus,55990,5th Gen AMD Ryzen 7  5800H,16.0,512.0,16.0,Windows 11 OS
HP,43990,5th Gen AMD Ryzen 5 5500U,16.0,512.0,15.6,Windows 11 OS
HP,19850,3rd Gen AMD Athlon 3050U,4.0,256.0,15.6,DOS OS
Acer,28990,Intel Core i3 N305,8.0,512.0,15.6,Windows 11 OS
Acer,54999,12th Gen Intel Core i5 1240P,16.0,512.0,15.6,Windows 11 OS
Dell,70990,13th Gen Intel Core i7 1355U,16.0,512.0,15.6,Windows 11 OS
Lenovo,56889,6th Gen AMD Ryzen 5 6600H,8.0,512.0,15.6,Windows 11 OS
Acer,179880,13th Gen Intel Core i9 13900HX,16.0,1024.0,16.0,Windows 11 OS
HP,53790,5th Gen AMD Ryzen 5 5600H,16.0,512.0,15.6,Windows 11 OS
Acer,37990,5th Gen AMD Ryzen 5 5500U,16.0,512.0,15.6,Windows 11 OS
Acer,96990,12th Gen Intel Core i7 12650H,16.0,1024.0,15.6,Windows 11 OS
HP,71990,13th Gen Intel Core i5 1340P,16.0,512.0,15.6,Windows 11 OS
HP,59990,11th Gen Intel Core i5 11400H ,16.0,512.0,16.1,Windows 11 OS
Lenovo,62990,12th Gen Intel Core i5 12450H,16.0,1024.0,14.0,Windows 11 OS
Infinix,30990,12th Gen Intel Core i3 1215U,8.0,512.0,14.0,Windows 11 OS
Lenovo,74990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
HP,36490,11th Gen Intel Core i3 1115G4,8.0,512.0,15.6,Windows 11 OS
Dell,77990,12th Gen Intel Core i5 12500H,16.0,1024.0,15.6,Windows 11 OS
Samsung,54990,12th Gen Intel Core i5 1235U ,16.0,512.0,15.6,Windows 11 OS
Lenovo,41190,12th Gen Intel Core i3 1215U,8.0,256.0,15.6,Windows 11 OS
Asus,89990,13th Gen Intel Core i5 13450HX,16.0,512.0,16.0,Windows 11 OS
Lenovo,399999,13th Gen Intel Core i9 13980HX,32.0,1024.0,16.0,Windows 11 OS
Wings,31990,11th Gen Intel Core i5 1135G7,8.0,512.0,15.6,Windows 11 OS
Dell,31490,5th Gen AMD Ryzen 3 5300U,8.0,512.0,15.6,Windows 11 OS
HP,70590,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
Asus,104990,12th Gen Intel Core i7 12700H,16.0,512.0,15.6,Windows 11 OS
Lenovo,23990,Intel Celeron  N4020,8.0,256.0,15.6,Windows 11 OS
HP,37999,5th Gen AMD Ryzen 5 5625U,8.0,512.0,15.6,Windows 11 OS
Honor,52990,12th Gen Intel Core i5 12450H,16.0,512.0,14.0,Windows 11 OS
Lenovo,30849,5th Gen AMD Ryzen 3 5300U,8.0,512.0,15.6,Windows 11 OS
HP,58990,12th Gen Intel Core i5 12450H,8.0,512.0,15.6,Windows 11 OS
Zebronics,34990,11th Gen Intel Core i5 1155G7,16.0,512.0,15.6,Windows 11 OS
Lenovo,49990,7th Gen AMD Ryzen 7 7730U,16.0,512.0,16.0,Windows 11 OS
HP,51780,12th Gen Intel Core i5 1235U,8.0,512.0,15.6,Windows 11 OS
Asus,68990,11th Gen Intel Core i7 11800H,16.0,512.0,15.6,Windows 11 OS
Asus,85990,12th Gen Intel Core i7 12700H ,16.0,1024.0,15.6,Windows 11 OS
Lenovo,96990,13th Gen Intel Core i7 13620H,16.0,512.0,15.6,Windows 11 OS
Lenovo,148990,13th Gen Intel Core i9 13900H,32.0,1024.0,16.0,Windows 11 OS
Asus,72990,12th Gen Intel Core i5 12500H,16.0,512.0,17.3,Windows 11 OS
Dell,84490,13th Gen Intel Core i7 1360P,16.0,1024.0,14.0,Windows 11 OS
Asus,60990,12th Gen Intel Core i7 12650H,16.0,512.0,15.6,Windows 11 OS
Infinix,33990,11th Gen Intel Core i5 1155G7,16.0,512.0,14.0,Windows 11 OS
Asus,35990,11th Gen Intel Core i3 1115G4,16.0,512.0,14.0,Windows 11 OS
Acer,60990,12th Gen Intel Core i5 12450H,16.0,512.0,15.6,Windows 11 OS
Xiaomi,43990,12th Gen Intel Core i5 12500H,16.0,512.0,14.0,Windows 11 OS
Asus,62990,12th Gen Intel Core i5 12450H,16.0,512.0,16.0,Windows 11 OS
MSI,65990,11th Gen Intel Core i7 11800H,16.0,1024.0,15.6,Windows 11 OS
Infinix,23990,11th Gen Intel Celeron N5100,8.0,512.0,15.6,Windows 11 OS
Asus,61990,11th Gen Intel Core i5 11400H ,16.0,512.0,15.6,Windows 11 OS
Dell,36990,5th Gen AMD Ryzen 3 5425U,8.0,512.0,15.6,Windows 11 OS
Asus,50970,5th Gen AMD Ryzen 5 5600H,16.0,512.0,16.0,Windows 11 OS
Dell,184999,10th Gen Intel Core i7 10750H,16.0,512.0,15.6,Windows 10 OS
HP,109990,7th Gen AMD Ryzen 7 7840HS,16.0,1024.0,16.1,Windows 11 OS
Zebronics,42990,12th Gen Intel Core i5 1235U,16.0,512.0,15.6,Windows 11 OS
HP,39150,12th Gen Intel Core i3 1215U,8.0,512.0,15.6,Windows 11 OS
Acer,92999,13th Gen Intel Core i5 13500H,16.0,512.0,14.0,Windows 11 OS
HP,80990,7th Gen AMD Ryzen 7 7840HS,16.0,512.0,16.1,Windows 11 OS
HP,55850,7th Gen AMD Ryzen 5 7535HS,8.0,512.0,15.6,Windows 11 OS
Acer,38990,11th Gen Intel Core i5 1135G7,8.0,512.0,15.6,Windows 11 OS
MSI,53990,11th Gen Intel Core i5 11260H,16.0,1024.0,15.6,Windows 11 OS
Infinix,38990,12th Gen Intel Core i5 1235U,16.0,512.0,14.0,Windows 11 OS
HP,139234,7th Gen AMD Ryzen 7 7840HS,16.0,1024.0,16.0,Windows 11 OS
MSI,57990,11th Gen Intel Core i5 11260H,16.0,1024.0,15.6,Windows 11 OS
